ISBN,Title,Genre,Year,Stock,Price,Author
818255959-6,Babylon 5: The Legend of the Rangers: To Live and Die in Starlight,Sci-Fi,2000,26,14.68,Doralyn Ortelt
500797255-X,"County Teacher, The (Venkovský ucitel)",Drama,1994,55,18.43,Velvet Owbridge
324700299-5,A Grain of Truth,Thriller,2008,20,5.78,Bordie Hatzar
072077642-2,Untamed Heart,Drama|Romance,1989,50,6.59,Ede Bisterfeld
762823941-2,According to Spencer,Comedy|Drama|Romance,2005,90,1.2,Leoline Falck
852141189-8,American Idiots,Comedy|Romance,1957,36,16.1,Herb Whitwell
502981575-9,"Botany of Desire, The",Documentary,2000,45,7.21,Dean Sorton
368095286-4,Out of the Clear Blue Sky,Documentary,1984,33,8.83,Heidi Habard
585733662-7,Judgment at Nuremberg,Drama,2011,99,25.18,Floris Mountain
989941331-3,Here Comes the Boom,Action|Comedy,2000,96,1.02,Vanessa Estcourt
505306751-1,From Here to Eternity,Drama|Romance|War,2008,28,4.47,Hollyanne Storry
036835793-7,"John Huston: The Man, the Movies, the Maverick",Documentary,2004,45,24.3,Jonas Jeram
923273533-4,Boogeyman,Drama|Horror|Mystery|Thriller,2005,76,29.89,Flossi Cargen
683150081-1,The Car,Horror|Mystery|Thriller,2005,50,20.85,Caye Peckham
019787508-4,Beethoven's Big Break,Children|Comedy,2010,75,13.45,Dalis MacGinlay
051619777-0,Get Real,Drama|Romance,1988,61,22.4,Edeline Curthoys
184084184-2,French Fried Vacation 3 (Les bronzés 3: amis pour la vie),Comedy,2004,37,14.59,Ruperto Abbie
215538188-3,InAPPropriate Comedy,Comedy,1999,59,21.79,Ahmed Couthard
584085444-1,Graduation Day,Horror,2007,75,17.41,Fidelio Perham
202066985-4,"Farmer's Wife, The",Comedy,1985,89,28.97,Jennee Pirouet
484435810-3,Love Field,Drama,1996,57,9.26,Darnall Doldon
607573056-7,True Heart,Adventure|Children|Drama,2008,57,24.41,Marybeth Riceards
962781291-9,Bend of the River,Western,2010,14,17.07,Billie Ralfe
217041599-8,Stage Fright,Mystery|Romance|Thriller,1995,68,9.85,Correna Bazylets
323497177-3,"Ring Two, The",Drama|Horror|Mystery|Thriller,1996,93,1.43,Guillemette Meekin
917458518-5,From the Terrace,Drama,2012,84,22.32,Isacco Foister
782449125-0,"Have Dreams, Will Travel",Drama|Romance,2003,27,27.28,Pietra Paver
584210201-3,Hannah Takes the Stairs,Drama,1989,13,1.35,Archambault Wenban
042426698-9,Ice Age Columbus: Who Were the First Americans?,Documentary,2002,14,28.03,Tabbitha Ketteridge
717621021-7,SUBWAYStories: Tales from the Underground,Drama,2009,63,21.53,Hammad Mignot
247574003-5,Ice Quake ,Action|Sci-Fi|Thriller,2005,56,26.48,Florie Minillo
822178987-9,Prelude to a Kiss,Comedy|Drama|Romance,2007,46,3.3,Dewain Glanville
662138360-6,Scarlet Diva,Drama,1999,62,10.69,Farlie Ferrandez
089357666-2,Enlightenment Guaranteed (Erleuchtung Garantiert),Comedy|Drama,2006,91,9.02,Ileane Masding
816481537-3,Two for the Road,Comedy|Drama|Romance,1985,13,8.31,Aguie Beer
293589954-7,"Wizard of Oz, The",Adventure|Children|Comedy|Fantasy,2000,41,7.21,Geneva Burnyeat
810345388-9,Schtonk!,Comedy,2012,52,2.75,Federica Atrill
022997834-7,"Perfect Storm, The",Drama|Thriller,2008,93,14.1,Tito Jaquemar
254252619-2,"Pirates of Penzance, The",Adventure|Comedy|Musical,2000,45,29.57,Larisa How
